dev_row,dev_id,bias_norm,aligned_pred,alignment_strength,alignment_score,dev_cue_span,probe_pair_id,probe_cue_span,notes
0,33855,anchoring bias,0,none,0.0,,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:3,Most teams I know in similar situations stick with manual deployments to avoid the initial overhead.,"Both reference anchoring to prior approaches, but phrasing differs."
1,3793,anchoring bias,0,none,0.0,,,,No analogous cue span found in the provided candidates.
2,8541,anchoring bias,1,weak,0.4,"like the pill's styling. But when I click on it it just disappears, I don't see the hidden text like I was in version 4.14",augmented_dilemmas_dataset_gpt-4o-mini:7,A friend remarked that there’s nothing like,Weak alignment due to reference to prior version and preference anchoring.
3,9146,anchoring bias,0,none,0.0,,augmented_dilemmas_dataset_gpt-4o-mini:7,as long as the code,Weak alignment to prior baseline reference.
4,18459,anchoring bias,1,weak,0.4,we can go back to the first solution,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:5,"I remember that in a previous project, the team didn’t use a ...",Weak alignment to prior baseline reference.
5,23952,anchoring bias,1,weak,0.4,The previous version was fine,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:6,A previous scaling issue was resolved,Weak alignment on reference to prior solution/version.
6,35474,availability bias,0,none,0.0,,,,No analogous cue span found in the provided candidates.
7,11707,availability bias,1,weak,0.4,I read somewhere that,augmented_dilemmas_dataset_gpt-4.1-mini:6,I remember reading somewhere that,Weak alignment due to similar but not identical phrasing.
8,26208,availability bias,0,none,0.0,,,,No analogous cue span found in the provided candidates.
9,27461,availability bias,0,none,0.0,,,,No analogous cue span found in the provided probe.
10,33587,availability bias,0,none,0.0,,,,No analogous cue span found in the probe.
11,1325,bandwagon effect,1,weak,0.4,is it still the preferred way to delete?,augmented_dilemmas_dataset_gpt-4.1-mini:4,Some internal teams have recently preferred building custom login systems,Weak alignment on 'preferred' as popularity cue.
12,10641,bandwagon effect,0,none,0.0,,augmented_dilemmas_dataset_gpt-4o-mini:5,,No popularity/consensus cue in DevGPT text.
13,27454,bandwagon effect,1,weak,0.6,it looks like linregress is popular,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:5,Most of our industry peers are using the popular library,"Both mention popularity, but phrasing differs slightly."
